Year,Position,Team,Played,Wins,Draws,Losses,For,Against,Percentage,Points,Premiers
1966,1,Collingwood,18,15,,3,1687,1073,157.2,60,False
1966,2,St Kilda,18,14,,4,1641,1149,142.8,56,True
1966,3,Geelong,18,14,,4,1599,1162,137.6,56,False
1966,4,Essendon,18,14,,4,1457,1204,121.0,56,False
1966,5,Richmond,18,13,1,4,1626,1320,123.2,54,False
1966,6,Carlton,18,10,,8,1233,1143,107.9,40,False
1966,7,North Melbourne,18,7,1,10,1294,1381,93.7,30,False
1966,8,South Melbourne,18,7,,11,1486,1505,98.7,28,False
1966,9,Hawthorn,18,5,,13,1224,1650,74.2,20,False
1966,10,Footscray,18,4,,14,1004,1458,68.9,16,False
1966,11,Melbourne,18,3,,15,1235,1580,78.2,12,False
1966,12,Fitzroy,18,1,,17,1004,1865,53.8,4,False
1967,1,Richmond,18,15,,3,1869,1281,145.9,60,True
1967,2,Carlton,18,14,1,3,1425,1133,125.8,58,False
1967,3,Geelong,18,13,,5,1625,1323,122.8,52,False
1967,4,Collingwood,18,12,,6,1629,1232,132.2,48,False
1967,5,St Kilda,18,11,,7,1630,1328,122.7,44,False
1967,6,Essendon,18,8,1,9,1406,1327,106.0,34,False
1967,7,Melbourne,18,8,,10,1258,1417,88.8,32,False
1967,8,North Melbourne,18,7,1,10,1234,1310,94.2,30,False
1967,9,South Melbourne,18,5,1,12,1446,1763,82.0,22,False
1967,10,Hawthorn,18,5,,13,1241,1766,70.3,20,False
1967,11,Fitzroy,18,4,,14,1193,1655,72.1,16,False
1967,12,Footscray,18,4,,14,1060,1481,71.6,16,False
1968,1,Essendon,20,16,1,3,1860,1428,130.3,66,False
1968,2,Carlton,20,15,,5,1751,1343,130.4,60,True
1968,3,Geelong,20,15,,5,1528,1431,106.8,60,False
1968,4,St Kilda,20,14,1,5,1718,1263,136.0,58,False
1968,5,Richmond,20,14,,6,1889,1536,123.0,56,False
1968,6,Hawthorn,20,9,1,10,1934,1869,103.5,38,False
1968,7,Collingwood,20,9,,11,1623,1717,94.5,36,False
1968,8,Melbourne,20,8,,12,1434,1709,83.9,32,False
1968,9,South Melbourne,20,6,1,13,1639,1954,83.9,26,False
1968,10,Footscray,20,5,,15,1413,1710,82.6,20,False
1968,11,Fitzroy,20,4,,16,1643,2035,80.7,16,False
1968,12,North Melbourne,20,3,,17,1266,1703,74.3,12,False
1969,1,Collingwood,20,15,,5,2129,1651,129.0,60,False
1969,2,Carlton,20,15,,5,2260,1875,120.5,60,False
1969,3,Geelong,20,13,1,6,2092,1745,119.9,54,False
1969,4,Richmond,20,13,,7,2060,1653,124.6,52,True
1969,5,Hawthorn,20,13,,7,2025,2050,98.8,52,False
