Year,Position,Team,Played,Wins,Draws,Losses,For,Against,Percentage,Points,Premiers
1976,1,Carlton,22,16,1,5,2245,1690,132.8,66,False
1976,2,Hawthorn,22,16,,6,2323,2035,114.2,64,True
1976,3,North Melbourne,22,15,,7,2041,1748,116.8,60,False
1976,4,Geelong,22,12,,10,2251,2166,103.9,48,False
1976,5,Footscray,22,11,1,10,1958,2023,96.8,46,False
1976,6,Melbourne,22,11,,11,2319,2333,99.4,44,False
1976,7,Richmond,22,10,,12,2192,2224,98.6,40,False
1976,8,South Melbourne,22,9,,13,2223,2364,94.0,36,False
1976,9,St Kilda,22,9,,13,2056,2282,90.1,36,False
1976,10,Essendon,22,9,,13,1987,2253,88.2,36,False
1976,11,Fitzroy,22,7,,15,2005,2161,92.8,28,False
1976,12,Collingwood,22,6,,16,2033,2354,86.4,24,False
